StationName,AirTemperatureMean,AirTemperatureMax,AirTemperatureMaxDate
嘉義,28.9,37.2,2021-05-05
嘉義,28.9,37.2,2021-05-06
嘉義,28.9,37.2,2021-05-07
嘉義,28.9,37.2,2021-05-08
嘉義,28.9,37.2,2021-05-09
嘉義,28.9,37.2,2021-05-10
嘉義,28.9,37.2,2021-05-11
嘉義,28.9,37.2,2021-05-12
嘉義,28.9,37.2,2021-05-13
嘉義,28.9,37.2,2021-05-14
嘉義,28.9,37.2,2021-05-15
嘉義,28.9,37.2,2021-05-16
嘉義,28.9,37.2,2021-05-17
嘉義,28.9,37.2,2021-05-18
嘉義,28.9,37.2,2021-05-19
嘉義,28.9,37.2,2021-05-20
嘉義,28.9,37.2,2021-05-21
嘉義,28.9,37.2,2021-05-22
嘉義,28.9,37.2,2021-05-23
嘉義,28.9,37.2,2021-05-24
嘉義,28.9,37.2,2021-05-25
嘉義,28.9,37.2,2021-05-26
嘉義,28.9,37.2,2021-05-27
嘉義,28.9,37.2,2021-05-28
嘉義,28.9,37.2,2021-05-29
嘉義,28.9,37.2,2021-05-30
嘉義,28.9,37.2,2021-05-31
嘉義,28.2,35.0,2021-06-01
嘉義,28.2,35.0,2021-06-02
嘉義,28.2,35.0,2021-06-03
嘉義,28.2,35.0,2021-06-04
嘉義,28.2,35.0,2021-06-05
嘉義,28.2,35.0,2021-06-06
嘉義,28.2,35.0,2021-06-07
嘉義,28.2,35.0,2021-06-08
嘉義,28.2,35.0,2021-06-09
嘉義,28.2,35.0,2021-06-10
嘉義,28.2,35.0,2021-06-11
嘉義,28.2,35.0,2021-06-12
嘉義,28.2,35.0,2021-06-13
嘉義,28.2,35.0,2021-06-14
嘉義,28.2,35.0,2021-06-15
嘉義,28.2,35.0,2021-06-16
嘉義,28.2,35.0,2021-06-17
嘉義,28.2,35.0,2021-06-18
嘉義,28.2,35.0,2021-06-19
嘉義,28.2,35.0,2021-06-20
嘉義,28.2,35.0,2021-06-21
嘉義,28.2,35.0,2021-06-22
嘉義,28.2,35.0,2021-06-23
嘉義,28.2,35.0,2021-06-24
嘉義,28.2,35.0,2021-06-25
嘉義,28.2,35.0,2021-06-26
嘉義,28.2,35.0,2021-06-27
嘉義,28.2,35.0,2021-06-28
嘉義,28.2,35.0,2021-06-29
嘉義,28.2,35.0,2021-06-30
嘉義,28.9,35.0,2021-07-01
嘉義,28.9,35.0,2021-07-02
嘉義,28.9,35.0,2021-07-03
嘉義,28.9,35.0,2021-07-04
嘉義,28.9,35.0,2021-07-05
嘉義,28.9,35.0,2021-07-06
嘉義,28.9,35.0,2021-07-07
嘉義,28.9,35.0,2021-07-08
嘉義,28.9,35.0,2021-07-09
嘉義,28.9,35.0,2021-07-10
嘉義,28.9,35.0,2021-07-11
嘉義,28.9,35.0,2021-07-12
嘉義,28.9,35.0,2021-07-13
嘉義,28.9,35.0,2021-07-14
嘉義,28.9,35.0,2021-07-15
嘉義,28.9,35.0,2021-07-16
嘉義,28.9,35.0,2021-07-17
嘉義,28.9,35.0,2021-07-18
嘉義,28.9,35.0,2021-07-19
嘉義,28.9,35.0,2021-07-20
嘉義,28.9,35.0,2021-07-21
嘉義,28.9,35.0,2021-07-22
嘉義,28.9,35.0,2021-07-23
嘉義,28.9,35.0,2021-07-24
嘉義,28.9,35.0,2021-07-25
嘉義,28.9,35.0,2021-07-26
嘉義,28.9,35.0,2021-07-27
嘉義,28.9,35.0,2021-07-28
嘉義,28.9,35.0,2021-07-29
嘉義,28.9,35.0,2021-07-30
嘉義,28.9,35.0,2021-07-31
嘉義,28.1,34.7,2021-08-01
嘉義,28.1,34.7,2021-08-02
嘉義,28.1,34.7,2021-08-03
嘉義,28.1,34.7,2021-08-04
嘉義,28.1,34.7,2021-08-05
嘉義,28.1,34.7,2021-08-06
嘉義,28.1,34.7,2021-08-07
嘉義,28.1,34.7,2021-08-08
嘉義,28.1,34.7,2021-08-09
嘉義,28.1,34.7,2021-08-10
嘉義,28.1,34.7,2021-08-11
嘉義,28.1,34.7,2021-08-12
嘉義,28.1,34.7,2021-08-13
嘉義,28.1,34.7,2021-08-14
嘉義,28.1,34.7,2021-08-15
嘉義,28.1,34.7,2021-08-16
嘉義,28.1,34.7,2021-08-17
嘉義,28.1,34.7,2021-08-18
嘉義,28.1,34.7,2021-08-19
嘉義,28.1,34.7,2021-08-20
嘉義,28.1,34.7,2021-08-21
嘉義,28.1,34.7,2021-08-22
嘉義,28.1,34.7,2021-08-23
嘉義,28.1,34.7,2021-08-24
嘉義,28.1,34.7,2021-08-25
嘉義,28.1,34.7,2021-08-26
嘉義,28.1,34.7,2021-08-27
嘉義,28.1,34.7,2021-08-28
嘉義,28.1,34.7,2021-08-29
嘉義,28.1,34.7,2021-08-30
嘉義,28.1,34.7,2021-08-31
嘉義,28.9,35.0,2021-09-01
嘉義,28.9,35.0,2021-09-02
嘉義,28.9,35.0,2021-09-03
嘉義,28.9,35.0,2021-09-04
嘉義,28.9,35.0,2021-09-05
嘉義,28.9,35.0,2021-09-06
嘉義,28.9,35.0,2021-09-07
嘉義,28.9,35.0,2021-09-08
嘉義,28.9,35.0,2021-09-09
嘉義,28.9,35.0,2021-09-10
嘉義,28.9,35.0,2021-09-11
嘉義,28.9,35.0,2021-09-12
嘉義,28.9,35.0,2021-09-13
嘉義,28.9,35.0,2021-09-14
嘉義,28.9,35.0,2021-09-15
嘉義,28.9,35.0,2021-09-16
嘉義,28.9,35.0,2021-09-17
嘉義,28.9,35.0,2021-09-18
嘉義,28.9,35.0,2021-09-19
嘉義,28.9,35.0,2021-09-20
嘉義,28.9,35.0,2021-09-21
嘉義,28.9,35.0,2021-09-22
嘉義,28.9,35.0,2021-09-23
嘉義,28.9,35.0,2021-09-24
嘉義,28.9,35.0,2021-09-25
嘉義,28.9,35.0,2021-09-26
嘉義,28.9,35.0,2021-09-27
嘉義,28.9,35.0,2021-09-28
嘉義,28.9,35.0,2021-09-29
嘉義,28.9,35.0,2021-09-30
嘉義,26.4,34.9,2021-10-01
嘉義,26.4,34.9,2021-10-02
嘉義,26.4,34.9,2021-10-03
嘉義,26.4,34.9,2021-10-04
嘉義,26.4,34.9,2021-10-05
嘉義,26.4,34.9,2021-10-06
嘉義,26.4,34.9,2021-10-07
嘉義,26.4,34.9,2021-10-08
嘉義,26.4,34.9,2021-10-09
嘉義,26.4,34.9,2021-10-10
嘉義,26.4,34.9,2021-10-11
嘉義,26.4,34.9,2021-10-12
嘉義,26.4,34.9,2021-10-13
嘉義,26.4,34.9,2021-10-14
嘉義,26.4,34.9,2021-10-15
嘉義,26.4,34.9,2021-10-16
嘉義,26.4,34.9,2021-10-17
嘉義,26.4,34.9,2021-10-18
嘉義,26.4,34.9,2021-10-19
嘉義,26.4,34.9,2021-10-20
嘉義,26.4,34.9,2021-10-21
嘉義,26.4,34.9,2021-10-22
嘉義,26.4,34.9,2021-10-23
嘉義,26.4,34.9,2021-10-24
嘉義,26.4,34.9,2021-10-25
嘉義,26.4,34.9,2021-10-26
嘉義,26.4,34.9,2021-10-27
嘉義,26.4,34.9,2021-10-28
嘉義,26.4,34.9,2021-10-29
嘉義,26.4,34.9,2021-10-30
嘉義,26.4,34.9,2021-10-31
嘉義,22.2,33.3,2021-11-01
嘉義,22.2,33.3,2021-11-02
嘉義,22.2,33.3,2021-11-03
嘉義,22.2,33.3,2021-11-04
嘉義,22.2,33.3,2021-11-05
嘉義,22.2,33.3,2021-11-06
嘉義,22.2,33.3,2021-11-07
嘉義,22.2,33.3,2021-11-08
嘉義,22.2,33.3,2021-11-09
嘉義,22.2,33.3,2021-11-10
嘉義,22.2,33.3,2021-11-11
嘉義,22.2,33.3,2021-11-12
嘉義,22.2,33.3,2021-11-13
嘉義,22.2,33.3,2021-11-14
嘉義,22.2,33.3,2021-11-15
嘉義,22.2,33.3,2021-11-16
嘉義,22.2,33.3,2021-11-17
嘉義,22.2,33.3,2021-11-18
嘉義,22.2,33.3,2021-11-19
嘉義,22.2,33.3,2021-11-20
嘉義,22.2,33.3,2021-11-21
嘉義,22.2,33.3,2021-11-22
嘉義,22.2,33.3,2021-11-23
嘉義,22.2,33.3,2021-11-24
嘉義,22.2,33.3,2021-11-25
嘉義,22.2,33.3,2021-11-26
嘉義,22.2,33.3,2021-11-27
嘉義,22.2,33.3,2021-11-28
嘉義,22.2,33.3,2021-11-29
嘉義,22.2,33.3,2021-11-30
嘉義,18.4,28.3,2021-12-01
嘉義,18.4,28.3,2021-12-02
嘉義,18.4,28.3,2021-12-03
嘉義,18.4,28.3,2021-12-04
嘉義,18.4,28.3,2021-12-05
嘉義,18.4,28.3,2021-12-06
嘉義,18.4,28.3,2021-12-07
嘉義,18.4,28.3,2021-12-08
嘉義,18.4,28.3,2021-12-09
嘉義,18.4,28.3,2021-12-10
嘉義,18.4,28.3,2021-12-11
嘉義,18.4,28.3,2021-12-12
嘉義,18.4,28.3,2021-12-13
嘉義,18.4,28.3,2021-12-14
嘉義,18.4,28.3,2021-12-15
嘉義,18.4,28.3,2021-12-16
嘉義,18.4,28.3,2021-12-17
嘉義,18.4,28.3,2021-12-18
嘉義,18.4,28.3,2021-12-19
嘉義,18.4,28.3,2021-12-20
嘉義,18.4,28.3,2021-12-21
嘉義,18.4,28.3,2021-12-22
嘉義,18.4,28.3,2021-12-23
嘉義,18.4,28.3,2021-12-24
嘉義,18.4,28.3,2021-12-25
嘉義,18.4,28.3,2021-12-26
嘉義,18.4,28.3,2021-12-27
嘉義,18.4,28.3,2021-12-28
嘉義,18.4,28.3,2021-12-29
嘉義,18.4,28.3,2021-12-30
嘉義,18.4,28.3,2021-12-31
